CAD Net,X1 (in),Y1 (in),X2 (in),Y2 (in),Width (in),Layer,Xarc (in),Yarc (in),Radius (in)
Relay1,29.793577,17.52773,29.885304,17.436003,0.019685,"Top Layer",,,
Relay1,29.885304,17.231736,29.885304,17.436003,0.019685,"Top Layer",,,
Relay1,29.923966,16.60197,29.923966,17.074893,0.019685,"Top Layer",,,
Relay1,29.885304,17.113555,29.885304,17.231736,0.019685,"Top Layer",,,
Relay1,29.885304,17.113555,29.923966,17.074893,0.019685,"Top Layer",,,
24V,29.650592,17.232454,29.771987,17.232454,0.023622,"Top Layer",,,
24V,29.771987,17.232454,29.772706,17.231736,0.023622,"Top Layer",,,
CON-IO3,30.328312,17.321733,30.328312,17.386901,0.01,"Top Layer",,,
NetJ11_1,30.836887,17.049592,30.836887,17.24513,0.011811,"Top Layer",,,
NetJ11_1,30.836887,17.049592,30.856254,17.030225,0.011811,"Top Layer",,,
NetJ11_5,31.113461,17.070967,31.113461,17.157265,0.01,"Top Layer",,,
NetJ11_5,31.036887,17.233839,31.036887,17.24513,0.01,"Top Layer",,,
NetJ11_5,31.036887,17.233839,31.113461,17.157265,0.01,"Top Layer",,,
3V3,31.039691,17.342326,31.662873,17.342326,0.011811,"Top Layer",,,
3V3,31.036887,17.34513,31.039691,17.342326,0.011811,"Top Layer",,,
3V3,31.041043,17.349287,31.041043,17.687067,0.011811,"Top Layer",,,
3V3,31.036887,17.34513,31.041043,17.349287,0.011811,"Top Layer",,,
12V,32.062771,15.424822,32.336378,15.424822,0.027559,"Top Layer",,,
12V,32.061486,15.427475,32.061486,15.605904,0.027559,"Top Layer",,,
12V,31.744187,17.882913,31.816839,17.882913,0.023622,"Top Layer",,,
NetU6_30,30.994972,16.58033,31.105948,16.691306,0.009842,"Top Layer",,,
NetU6_30,30.994972,16.33473,30.994972,16.58033,0.009842,"Top Layer",,,
NetU6_30,30.994972,16.33473,31.027124,16.302578,0.009842,"Top Layer",,,
VDD,31.020145,17.061168,31.021064,17.061168,0.01,"Top Layer",,,
VREFSD+,31.596433,16.517803,31.73264,16.517803,0.009842,"Top Layer",,,
VREFSD+,31.59402,16.51539,31.595017,16.516387,0.009842,"Top Layer",,,
VREFSD+,31.543307,16.51539,31.59402,16.51539,0.009842,"Top Layer",,,
VDD,30.763842,16.248088,30.767066,16.244865,0.01,"Top Layer",,,
VDD,30.556351,16.458535,30.639827,16.375059,0.01,"Top Layer",,,
VDD,30.638349,16.373582,30.681328,16.330603,0.01,"Top Layer",,,
VDD,30.539944,16.678403,30.541091,16.678403,0.01,"Top Layer",,,
VDD,31.396987,16.691435,31.398561,16.691435,0.01,"Top Layer",,,
VDD,31.398561,16.691435,31.423064,16.666932,0.01,"Top Layer",,,
VDD,31.423064,16.599308,31.423064,16.666932,0.01,"Top Layer",,,
VDD,31.355105,16.531348,31.423064,16.599308,0.01,"Top Layer",,,
SDADC16,31.495984,16.3894,31.495984,16.771639,0.009842,"Top Layer",,,
SDADC16,31.566235,16.841889,31.662244,16.841889,0.009842,"Top Layer",,,
SDADC16,31.495984,16.771639,31.566235,16.841889,0.009842,"Top Layer",,,
5V,31.731418,16.593828,31.731418,16.660951,0.019685,"Top Layer",,,
5V,31.731418,16.593828,31.73264,16.592606,0.019685,"Top Layer",,,
VREFSD+,31.595017,16.516387,31.596433,16.517803,0.009842,"Top Layer",,,
5V,31.961697,16.591075,31.961736,16.591035,0.019685,"Top Layer",,,
5V,31.960951,16.591821,31.961697,16.591075,0.019685,"Top Layer",,,
5V,31.73264,16.592606,31.733426,16.591821,0.019685,"Top Layer",,,
5V,31.733426,16.591821,31.960951,16.591821,0.019685,"Top Layer",,,
VDD,31.274605,16.454584,31.274605,16.454584,0.01,"Top Layer",,,
